campaign_id,category,region,is_brand,budget_daily,start_date,end_date
1,retail,MEA,0,11.98,2026-01-04,2026-03-01
2,auto,LATAM,0,46.32,2026-01-18,2026-02-25
3,media,APAC,0,10.57,2026-01-06,2026-03-20
4,travel,MEA,0,20.08,2026-01-10,2026-02-27
5,travel,EU,0,16.28,2026-01-13,2026-04-12
6,auto,MEA,0,27.52,2026-01-05,2026-02-16
7,retail,MEA,1,15.67,2026-01-12,2026-03-16
8,media,APAC,0,20.29,2026-01-09,2026-01-25
9,finance,LATAM,1,20.79,2026-01-26,2026-04-20
10,retail,APAC,0,14.67,2026-01-26,2026-02-14
11,edtech,US,0,34.45,2026-01-01,2026-02-08
12,food,LATAM,0,28.99,2026-01-19,2026-04-05
13,media,US,0,23.06,2026-01-20,2026-04-17
14,auto,US,1,18.15,2026-01-12,2026-02-28
15,media,APAC,0,42.84,2026-01-15,2026-03-03
16,auto,MEA,0,20.8,2026-01-24,2026-02-04
17,edtech,US,0,19.79,2026-01-12,2026-04-10
18,finance,APAC,1,26.4,2026-01-02,2026-01-10
19,auto,EU,0,80.45,2026-01-12,2026-01-21
20,travel,EU,0,9.6,2026-01-08,2026-02-23
21,edtech,EU,1,42.05,2026-01-12,2026-01-19
22,games,EU,1,6.52,2026-01-07,2026-01-27
23,finance,MEA,1,28.56,2026-01-05,2026-03-05
24,food,MEA,0,73.89,2026-01-30,2026-04-05
25,auto,MEA,0,34.54,2026-01-04,2026-02-04
26,media,EU,0,27.64,2026-01-22,2026-04-05
27,travel,EU,1,16.57,2026-01-22,2026-03-20
28,auto,US,0,25.07,2026-01-19,2026-02-13
29,edtech,APAC,1,20.56,2026-01-28,2026-04-04
30,travel,US,0,14.15,2026-01-01,2026-02-26
31,travel,APAC,0,20.03,2026-01-10,2026-03-25
32,finance,EU,1,28.19,2026-01-06,2026-01-25
33,retail,LATAM,0,14.34,2026-01-18,2026-02-13
34,edtech,US,1,13.95,2026-01-20,2026-02-21
35,food,EU,0,9.47,2026-01-27,2026-03-03
36,retail,LATAM,0,32.25,2026-01-12,2026-04-02
37,auto,MEA,0,35.94,2026-01-08,2026-03-16
38,auto,EU,0,28.85,2026-01-28,2026-03-21
39,games,APAC,0,48.21,2026-01-21,2026-03-13
40,media,MEA,0,26.09,2026-01-23,2026-04-13
41,finance,LATAM,0,32.28,2026-01-14,2026-02-27
42,auto,MEA,0,30.35,2026-01-14,2026-02-08
43,media,APAC,0,23.01,2026-01-12,2026-01-30
44,games,US,0,16.92,2026-01-23,2026-02-26
45,retail,LATAM,0,115.57,2026-01-07,2026-03-09
46,food,EU,0,17.88,2026-01-30,2026-03-17
47,travel,US,0,15.39,2026-01-06,2026-02-17
48,food,LATAM,1,33.24,2026-01-14,2026-03-01
49,media,LATAM,1,29.26,2026-01-10,2026-04-07
50,auto,EU,0,9.18,2026-01-20,2026-04-19
51,auto,APAC,0,53.83,2026-01-21,2026-02-10
52,finance,US,0,22.97,2026-01-28,2026-02-13
53,games,APAC,0,11.27,2026-01-24,2026-02-20
54,travel,MEA,0,56.38,2026-01-08,2026-03-26
55,travel,EU,0,38.01,2026-01-07,2026-02-21
56,retail,MEA,0,10.12,2026-01-27,2026-04-15
57,edtech,APAC,1,85.12,2026-01-15,2026-03-16
58,finance,LATAM,0,38.91,2026-01-03,2026-02-24
59,media,APAC,0,24.36,2026-01-25,2026-02-24
60,media,US,1,74.68,2026-01-20,2026-02-24
61,food,LATAM,1,27.43,2026-01-01,2026-01-20
62,media,LATAM,0,24.05,2026-01-24,2026-03-15
