event_date,platform,impressions,clicks,purchases,revenue,uniq_users,ctr,cr,cpm,rev_3d,top3_rev_share
2026-02-02,android,3,2,0,0.0,5,0.666667,0.0,0.0,0.0,0.0
2026-02-02,ios,11,2,0,0.0,12,0.181818,0.0,0.0,0.0,0.0
2026-02-02,web,9,3,0,0.0,12,0.333333,0.0,0.0,0.0,0.0
2026-02-03,android,7,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0
2026-02-03,ios,6,1,0,0.0,7,0.166667,0.0,0.0,0.0,0.0
2026-02-03,web,5,1,0,0.0,6,0.2,0.0,0.0,0.0,0.0
2026-02-04,android,5,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0
2026-02-04,ios,12,1,0,0.0,11,0.083333,0.0,0.0,0.0,0.0
2026-02-04,web,6,1,0,0.0,7,0.166667,0.0,0.0,0.0,0.0
2026-02-05,android,7,2,1,29.52,10,0.285714,0.5,4217.142857,29.52,1.0
2026-02-05,ios,9,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0
2026-02-05,web,8,1,0,0.0,9,0.125,0.0,0.0,0.0,0.0
2026-02-06,android,3,0,0,0.0,3,0.0,0.0,0.0,29.52,0.0
2026-02-06,ios,7,0,2,112.11,7,0.0,0.0,16015.714286,112.11,1.0
2026-02-06,web,8,1,0,0.0,9,0.125,0.0,0.0,0.0,0.0
2026-02-07,android,11,3,0,0.0,12,0.272727,0.0,0.0,29.52,0.0
2026-02-07,ios,10,3,0,0.0,12,0.3,0.0,0.0,112.11,0.0
2026-02-07,web,11,3,0,0.0,13,0.272727,0.0,0.0,0.0,0.0
2026-02-08,android,12,4,0,0.0,16,0.333333,0.0,0.0,0.0,0.0
2026-02-08,ios,9,0,0,0.0,9,0.0,0.0,0.0,112.11,0.0
2026-02-08,web,10,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0
2026-02-09,android,9,2,0,0.0,10,0.222222,0.0,0.0,0.0,0.0
2026-02-09,ios,4,1,0,0.0,5,0.25,0.0,0.0,0.0,0.0
2026-02-09,web,6,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0
2026-02-10,android,8,2,0,0.0,10,0.25,0.0,0.0,0.0,0.0
2026-02-10,ios,2,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0
2026-02-10,web,16,0,0,0.0,16,0.0,0.0,0.0,0.0,0.0
